lemma,lemma_freq,lemma_len,n_forms
hideandseek,49865.0,11,1
high,88726863.0,4,2
highaltitude,78769.0,12,1
higher,32907416.0,6,1
highly,17644939.0,6,1
hillside,570964.0,8,1
him,230330497.0,3,1
himself,51056413.0,7,1
his,632876249.0,3,1
hiss,260820.0,4,1
hit,9467805.0,3,1
hoax,33648.0,4,1
hold,46932014.0,4,2
hole,5831470.0,4,1
home,58425147.0,4,1
hoover,2093.0,6,1
hop,375893.0,3,1
hope,18868214.0,4,1
horse,16092626.0,5,2
host,1804151.0,4,1
hour,41752051.0,4,2
house,29316743.0,5,2
hovel,73520.0,5,1
how,128607031.0,3,1
however,53726413.0,7,1
hum,184482.0,3,1
hundred,22030525.0,7,2
hunger,2292323.0,6,1
hunger',2292323.0,7,1
hungry,2856691.0,6,1
hunt,5522510.0,4,2
hunting',3880630.0,8,1
huntsman,92617.0,8,2
huntsman's,5248.0,10,1
hurry,3812619.0,5,2
hurtful,232596.0,7,1
hyacinth,70512.0,8,1
hyperactivity,210174.5,13,1
i,926120510.0,1,1
i'm,39638273.0,3,1
i've,15923265.0,4,1
ice,8173957.0,3,1
idea,32654099.0,4,1
ideal,9395146.0,5,1
identify,14492759.0,8,1
if,232130093.0,2,1
ignore,8060523.0,6,2
image,3309980.0,5,1
imagine,7187692.0,7,1
imagined,3662569.0,8,1
impact,18404514.0,6,1
impatient,1051793.0,9,1
impend,918622.0,6,1
important,77762315.0,9,1
impressive,2893002.0,10,1
improvement,7640531.0,11,1
impulsivity,126619.0,11,1
in,3271087682.0,2,1
inadmissible,252193.0,12,1
inattention,182472.0,11,1
incident,7674294.0,8,2
include,80918403.0,7,2
income,24966740.0,6,1
inconsequential,234580.0,15,1
increasingly,9891935.0,12,1
indeed,14351961.5,6,1
individual,22589212.0,10,1
infect,2850883.0,6,1
inflated,587352.0,8,1
information,10601544.0,11,1
inherit,2707590.0,7,1
inheritance,2551711.0,11,1
injured,2922811.0,7,1
innocently,279778.0,10,1
inquiry,4046605.0,7,1
insensitive,634046.0,11,1
inside,10903323.5,6,1
insider,379409.0,7,1
instance,18016127.0,8,1
instantly,2145741.0,9,1
instead,19406033.0,7,1
intend,628029.0,6,1
intense,5410331.0,7,1
intention,2998233.0,9,1
interaction,6686819.0,11,1
interest,43819697.0,8,1
internal,15832625.0,8,1
internallyinconsistent,1.0,22,1
interview,2150845.0,9,1
into,254637739.0,4,1
intrinsic,2646700.0,9,1
introduce,12941807.0,9,1
introduction,8578633.0,12,1
investigation,7528688.0,13,1
investor,3940338.0,8,1
invite,5067831.0,6,1
involuntary,973945.0,11,1
involve,24834510.0,7,3
involved,27319869.0,8,1
iron,9018328.0,4,1
irrationally,75659.0,12,1
issue,34446824.0,5,2
it,1168342436.0,2,2
it',908536386.0,3,1
it's,27535650.0,4,1
item,7431579.0,4,1
jacksonville,263906.0,12,1
january,16220794.0,7,1
jealous,1313951.0,7,1
jenny,4296.0,5,1
jerk,204416.0,4,1
jesse,1260434.0,5,1
jill,948278.0,4,1
job,25803539.0,3,1
join,7989363.0,4,1
josephs,34246.0,7,1
journalist,1655119.0,10,1
journey,6826751.0,7,1
joy,5858259.0,3,1
joyous,518199.0,6,1
judge,5219530.0,5,2
july,18277074.0,4,1
jump,1273153.0,4,1
jumped,2900435.0,6,1
june,20075593.0,4,1
just,113263289.0,4,1
karl,2749584.0,4,1
keep,56321870.0,4,3
kill,18838145.0,4,2
kindly,1664380.0,6,1
king,13253011.0,4,1
king',13253011.0,5,1
kneel,87036.0,5,1
know,197532889.0,4,4
knowledge,40687619.0,9,1
knowledgeable,28654.0,13,1
l'ecluse,1.0,8,1
la,25309478.0,2,1
lab,1750462.0,3,1
laboratory,5381003.0,10,1
lady',6862097.0,5,1
lain,396508.0,4,1
land,45217100.0,4,3
landed,2752089.0,6,1
lanky,127017.0,5,1
lap,1856598.0,3,1
large,84286338.0,5,2
lark,150710.0,4,1
last,58461594.0,4,2
lasting,2601928.0,7,1
latch,113327.0,5,1
late,29067082.0,4,1
later,55784164.0,5,1
laugh,5955735.0,5,1
launch,3287918.0,6,1
law,54997976.0,3,1
lay,13552915.0,3,1
lead,10129834.0,4,1
